fecha,IGAE,ActividadIndustrial,FBCF,IMCP,ANTAD,AUTOS,TARJETAS,Desempleo,IMSS,EPU,INPC,TC,TIIE,Balanza,BMV,INDPRO
1919-01-01,,,,,,,,,,,,,,,,4.8739
1919-02-01,,,,,,,,,,,,,,,,4.6585
1919-03-01,,,,,,,,,,,,,,,,4.5238
1919-04-01,,,,,,,,,,,,,,,,4.6046
1919-05-01,,,,,,,,,,,,,,,,4.6315
1919-06-01,,,,,,,,,,,,,,,,4.9277
1919-07-01,,,,,,,,,,,,,,,,5.2239
1919-08-01,,,,,,,,,,,,,,,,5.3047
1919-09-01,,,,,,,,,,,,,,,,5.197
1919-10-01,,,,,,,,,,,,,,,,5.1432
1919-11-01,,,,,,,,,,,,,,,,5.0624
1919-12-01,,,,,,,,,,,,,,,,5.1432
1920-01-01,,,,,,,,,,,,,,,,5.6279
1920-02-01,,,,,,,,,,,,,,,,5.6279
1920-03-01,,,,,,,,,,,,,,,,5.5201
1920-04-01,,,,,,,,,,,,,,,,5.2239
1920-05-01,,,,,,,,,,,,,,,,5.3586
1920-06-01,,,,,,,,,,,,,,,,5.4124
1920-07-01,,,,,,,,,,,,,,,,5.2778
1920-08-01,,,,,,,,,,,,,,,,5.3047
1920-09-01,,,,,,,,,,,,,,,,5.1162
1920-10-01,,,,,,,,,,,,,,,,4.9008
1920-11-01,,,,,,,,,,,,,,,,4.4969
1920-12-01,,,,,,,,,,,,,,,,4.2276
1921-01-01,,,,,,,,,,,,,,,,3.9853
1921-02-01,,,,,,,,,,,,,,,,3.9045
1921-03-01,,,,,,,,,,,,,,,,3.7968
1921-04-01,,,,,,,,,,,,,,,,3.7968
1921-05-01,,,,,,,,,,,,,,,,3.9045
1921-06-01,,,,,,,,,,,,,,,,3.8776
1921-07-01,,,,,,,,,,,,,,,,3.8506
1921-08-01,,,,,,,,,,,,,,,,3.9853
1921-09-01,,,,,,,,,,,,,,,,4.0122
1921-10-01,,,,,,,,,,,,,,,,4.2545
1921-11-01,,,,,,,,,,,,,,,,4.2007
1921-12-01,,,,,,,,,,,,,,,,4.1738
1922-01-01,,,,,,,,,,,,,,,,4.3353
1922-02-01,,,,,,,,,,,,,,,,4.5238
1922-03-01,,,,,,,,,,,,,,,,4.7662
1922-04-01,,,,,,,,,,,,,,,,4.6046
1922-05-01,,,,,,,,,,,,,,,,4.847
1922-06-01,,,,,,,,,,,,,,,,5.0893
1922-07-01,,,,,,,,,,,,,,,,5.0893
1922-08-01,,,,,,,,,,,,,,,,4.9816
1922-09-01,,,,,,,,,,,,,,,,5.2509
1922-10-01,,,,,,,,,,,,,,,,5.5471
1922-11-01,,,,,,,,,,,,,,,,5.7894
1922-12-01,,,,,,,,,,,,,,,,5.951
1923-01-01,,,,,,,,,,,,,,,,5.8163
1923-02-01,,,,,,,,,,,,,,,,5.8971
1923-03-01,,,,,,,,,,,,,,,,6.0856
1923-04-01,,,,,,,,,,,,,,,,6.2203
1923-05-01,,,,,,,,,,,,,,,,6.301
1923-06-01,,,,,,,,,,,,,,,,6.2472
1923-07-01,,,,,,,,,,,,,,,,6.1933
1923-08-01,,,,,,,,,,,,,,,,6.0856
1923-09-01,,,,,,,,,,,,,,,,5.951
1923-10-01,,,,,,,,,,,,,,,,5.9241
1923-11-01,,,,,,,,,,,,,,,,5.9241
1923-12-01,,,,,,,,,,,,,,,,5.7894
1924-01-01,,,,,,,,,,,,,,,,5.924
1924-02-01,,,,,,,,,,,,,,,,6.0318
1924-03-01,,,,,,,,,,,,,,,,5.9241
1924-04-01,,,,,,,,,,,,,,,,5.7356
1924-05-01,,,,,,,,,,,,,,,,5.4932
1924-06-01,,,,,,,,,,,,,,,,5.2509
1924-07-01,,,,,,,,,,,,,,,,5.1701
1924-08-01,,,,,,,,,,,,,,,,5.3586
1924-09-01,,,,,,,,,,,,,,,,5.5471
1924-10-01,,,,,,,,,,,,,,,,5.6817
1924-11-01,,,,,,,,,,,,,,,,5.7894
1924-12-01,,,,,,,,,,,,,,,,5.951
1925-01-01,,,,,,,,,,,,,,,,6.1395
1925-02-01,,,,,,,,,,,,,,,,6.1395
1925-03-01,,,,,,,,,,,,,,,,6.1395
1925-04-01,,,,,,,,,,,,,,,,6.1933
1925-05-01,,,,,,,,,,,,,,,,6.1664
1925-06-01,,,,,,,,,,,,,,,,6.1125
1925-07-01,,,,,,,,,,,,,,,,6.2741
1925-08-01,,,,,,,,,,,,,,,,6.1664
1925-09-01,,,,,,,,,,,,,,,,6.0856
1925-10-01,,,,,,,,,,,,,,,,6.328
